token,symbol,name,exch_seg
2251,699RJ41-SG,699RJ41,NSE
13750,FLUOROCHEM-EQ,FLUOROCHEM,NSE
171,672RJ30-SG,672RJ30,NSE
1221,66HP30-SG,66HP30,NSE
5686,SDFSC26GR-MF,SDFSC26GR,NSE
3493,TINPLATE-EQ,TINPLATE,NSE
17263,ARMANFIN-EQ,ARMANFIN,NSE
21069,UTCPOD9DP2-MF,UTCPOD9DP2,NSE
8924,UTDAP31P05-MF,UTDAP31P05,NSE
18063,BPF02IDR-MF,BPF02IDR,NSE
206,ASHIMASYN-EQ,ASHIMASYN,NSE
2496,ORIENTPPR-EQ,ORIENTPPR,NSE
1930,IMFFM31ADG-MF,IMFFM31ADG,NSE
402,NIACL-BL,NIACL,NSE
2227,70TS51-SG,70TS51,NSE
6286,GULPOLY-EQ,GULPOLY,NSE
22421,677KA33-SG,677KA33,NSE
371,BATAINDIA-EQ,BATAINDIA,NSE
18286,DHFL-N4,DHFL,NSE
2026,182D290721-TB,182D290721,NSE
13004,DHANILOANS-NK,DHANILOANS,NSE
17722,DEN-EQ,DEN,NSE
13704,HINDZINC-BL,HINDZINC,NSE
13106,NAHARINDUS-EQ,NAHARINDUS,NSE
4738,H1115D42DG-MF,H1115D42DG,NSE
19413,ROSSARI-BL,ROSSARI,NSE
21014,M15RD-MF,M15RD,NSE
15154,MADHAV-BL,MADHAV,NSE
17376,EXCEL-EQ,EXCEL,NSE
566,ATALREAL-SM,ATALREAL,NSE
13646,ELECON-BL,ELECON,NSE
22198,705JH30-SG,705JH30,NSE
1274,VASA-SM,VASA,NSE
11168,COFFEEDAY-BL,COFFEEDAY,NSE
14025,SFMP21DR-MF,SFMP21DR,NSE
6994,BSOFT-EQ,BSOFT,NSE
13019,HAVISHA-BL,HAVISHA,NSE
13805,SUTLEJTEX-BL,SUTLEJTEX,NSE
279,CHEMCON-BL,CHEMCON,NSE
22160,717CG30-SG,717CG30,NSE
1963,UTDGR28P12-MF,UTDGR28P12,NSE
12047,ASHIMASYN-BL,ASHIMASYN,NSE
11782,EVEREADY-EQ,EVEREADY,NSE
20332,CGCL-BL,CGCL,NSE
164,68AS30-SG,68AS30,NSE
2357,NURECA-BL,NURECA,NSE
12904,SGBAUG27-GB,SGBAUG27,NSE
4133,UTDGR29P13-MF,UTDGR29P13,NSE
17189,SHRIPISTON-BL,SHRIPISTON,NSE
1994,LIBERTSHOE-EQ,LIBERTSHOE,NSE
11511,CENTEXT-EQ,CENTEXT,NSE
4809,KCPSUGIND-EQ,KCPSUGIND,NSE
21521,SREIBNPNCD-NO,SREIBNPNCD,NSE
20223,CLEDUCATE-EQ,CLEDUCATE,NSE
20137,RAMKY-BL,RAMKY,NSE
2386,72GA31-SG,72GA31,NSE
29755,UTFDQIPIPI-MF,UTFDQIPIPI,NSE
12528,KABRAEXTRU-BL,KABRAEXTRU,NSE
3891,UTDGR29P11-MF,UTDGR29P11,NSE
22446,552AP24-SG,552AP24,NSE
2709,MTARTECH-EQ,MTARTECH,NSE
11872,GRANULES-EQ,GRANULES,NSE
4718,UTIDGR30P3-MF,UTIDGR30P3,NSE
22602,PFS-EQ,PFS,NSE
12045,ADROITINFO-BL,ADROITINFO,NSE
17925,GEEKAYWIRE-BL,GEEKAYWIRE,NSE
8823,ABSLFTSFRG-MF,ABSLFTSFRG,NSE
8063,H1190D43DD-MF,H1190D43DD,NSE
213,SYNCOM-BZ,SYNCOM,NSE
21278,SUMMITSEC-BL,SUMMITSEC,NSE
1411,182D030621-TB,182D030621,NSE
6345,ABSLFTRNDG-MF,ABSLFTRNDG,NSE
874,ASTRON-EQ,ASTRON,NSE
2801,EASEMYTRIP-BL,EASEMYTRIP,NSE
2552,719UP31-SG,719UP31,NSE
2972,ORIENTELEC-EQ,ORIENTELEC,NSE
4172,TCNSBRANDS-EQ,TCNSBRANDS,NSE
6774,ABSLFTRRDN-MF,ABSLFTRRDN,NSE
21927,57KA26-SG,57KA26,NSE
27306,SEPOWER-BL,SEPOWER,NSE
3534,F134G-MF,F134G,NSE
21991,709MP30-SG,709MP30,NSE
29284,VMART-EQ,VMART,NSE
21253,AXISNIFTY-BL,AXISNIFTY,NSE
482,AISL-SM,AISL,NSE
12496,ITDCEM-BL,ITDCEM,NSE
22261,65GA30-SG,65GA30,NSE
9685,TRIDENT-EQ,TRIDENT,NSE
7686,ABSLFTRWDG-MF,ABSLFTRWDG,NSE
13686,MBECL-BL,MBECL,NSE
4696,LAGNAM-SM,LAGNAM,NSE
20163,CANTABIL-BL,CANTABIL,NSE
22150,715WB35-SG,715WB35,NSE
846,64GJ30A-SG,64GJ30A,NSE
22371,669TS50-SG,669TS50,NSE
17641,SUNTECK-EQ,SUNTECK,NSE
2394,734TR36-SG,734TR36,NSE
11309,BALAXI-EQ,BALAXI,NSE
9847,NETFNV20-EQ,NETFNV20,NSE
10000,ABSLFTSNDN-MF,ABSLFTSNDN,NSE
6451,SHUBHLAXMI-SM,SHUBHLAXMI,NSE
2385,NAVNETEDUL-EQ,NAVNETEDUL,NSE
12078,GOLDTECH-BL,GOLDTECH,NSE
3163,SFMP42GD-MF,SFMP42GD,NSE
11655,JBMA-EQ,JBMA,NSE
12779,SSWL-BL,SSWL,NSE
4165,ABSLFTQORG-MF,ABSLFTQORG,NSE
2387,72UP31-SG,72UP31,NSE
6429,RSSOFTWARE-EQ,RSSOFTWARE,NSE
7088,86GS2028-GS,86GS2028,NSE
17441,OIL-BL,OIL,NSE
6111,UTIRGR30PX-MF,UTIRGR30PX,NSE
1726,JBCHEPHARM-EQ,JBCHEPHARM,NSE
21402,GANGESSECU-BL,GANGESSECU,NSE
11044,617GS2021-GS,617GS2021,NSE
5985,H1261D43DQ-MF,H1261D43DQ,NSE
20072,INFRABEES-EQ,INFRABEES,NSE
9998,UTRQP31P13-MF,UTRQP31P13,NSE
10241,CONFIPET-BL,CONFIPET,NSE
14145,SFMP21GD-MF,SFMP21GD,NSE
423,594CG25-SG,594CG25,NSE
3854,H1099D41RD-MF,H1099D41RD,NSE
9137,UTRQP31P06-MF,UTRQP31P06,NSE
22137,75TR30-SG,75TR30,NSE
14415,PAGEIND-BL,PAGEIND,NSE
3062,EC3DG-MF,EC3DG,NSE
2710,ABSLRIF7RD-MF,ABSLRIF7RD,NSE
11369,TTKHLTCARE-EQ,TTKHLTCARE,NSE
21747,EDUCOMP-BZ,EDUCOMP,NSE
5673,ABSLFTQRDQ-MF,ABSLFTQRDQ,NSE
2080,688UP31-SG,688UP31,NSE
12400,GODFRYPHLP-BL,GODFRYPHLP,NSE
7410,H1211D43RG-MF,H1211D43RG,NSE
18052,MINDTECK-BL,MINDTECK,NSE
20422,ANDHRACEMT-BL,ANDHRACEMT,NSE
14672,NAVINFLUOR-EQ,NAVINFLUOR,NSE
18921,VBL-EQ,VBL,NSE
2048,INDIGOPNTS-EQ,INDIGOPNTS,NSE
7696,ABSLFTRWRG-MF,ABSLFTRWRG,NSE
2756,716ML31-SG,716ML31,NSE
9310,FIFMPS6CRG-MF,FIFMPS6CRG,NSE
17172,SRTRANSFIN-ZI,SRTRANSFIN,NSE
22241,EBBETF0431-BL,EBBETF0431,NSE
2065,689BR28-SG,689BR28,NSE
4089,IKDD-MF,IKDD,NSE
9286,H1126D44RQ-MF,H1126D44RQ,NSE
10457,ARVSMART-EQ,ARVSMART,NSE
1391,IREDA-N5,IREDA,NSE
717,SHRADHA-BL,SHRADHA,NSE
1428,662NL30-SG,662NL30,NSE
21544,JUBLINDS-BL,JUBLINDS,NSE
18113,VASCONEQ-BL,VASCONEQ,NSE
1672,HGINFRA-EQ,HGINFRA,NSE
12642,NUCLEUS-BL,NUCLEUS,NSE
21642,729BR30-SG,729BR30,NSE
19731,GPPL-EQ,GPPL,NSE
12212,APTECHT-BL,APTECHT,NSE
3502,H135G-MF,H135G,NSE
11445,PILANIINVS-EQ,PILANIINVS,NSE
21254,ICICILOVOL-EQ,ICICILOVOL,NSE
350,BANARISUG-EQ,BANARISUG,NSE
25515,FLEXITUFF-BL,FLEXITUFF,NSE
31261,NDL-BL,NDL,NSE
15656,L&TFINANCE-Y5,L&TFINANCE,NSE
12211,ANDHRAPAP-BL,ANDHRAPAP,NSE
11821,WELCORP-EQ,WELCORP,NSE
17978,UTIDGR33P1-MF,UTIDGR33P1,NSE
15399,EIHAHOTELS-EQ,EIHAHOTELS,NSE
12588,MASTEK-BL,MASTEK,NSE
14301,PFC-BL,PFC,NSE
3405,TATACHEM-EQ,TATACHEM,NSE
9668,HIKAL-EQ,HIKAL,NSE
1563,EMOFSR1DDS-MF,EMOFSR1DDS,NSE
22407,51BR23-SG,51BR23,NSE
14344,SEQUENT-BL,SEQUENT,NSE
10036,H1100D44RQ-MF,H1100D44RQ,NSE
1938,662UP31-SG,662UP31,NSE
20048,M&MFIN-N2,M&MFIN,NSE
9467,H1120D44RQ-MF,H1120D44RQ,NSE
20569,668AP24-SG,668AP24,NSE
22263,649TS50-SG,649TS50,NSE
8571,UTDGR31P03-MF,UTDGR31P03,NSE
13430,KELLTONTEC-EQ,KELLTONTEC,NSE
1038,FINCABLES-EQ,FINCABLES,NSE
18624,IBULHSGFIN-N8,IBULHSGFIN,NSE
1750,UTRGR28P11-MF,UTRGR28P11,NSE
1074,655GA30-SG,655GA30,NSE
17432,FICRF2DP-MF,FICRF2DP,NSE
4276,ECLFINANCE-NG,ECLFINANCE,NSE
29601,REPCOHOME-BL,REPCOHOME,NSE
10634,ASAL-EQ,ASAL,NSE
11027,INFOBEAN-EQ,INFOBEAN,NSE
8746,ABSLDAF2RN-MF,ABSLDAF2RN,NSE
7024,82GS2025-GS,82GS2025,NSE
12645,OMAXAUTO-BL,OMAXAUTO,NSE
13521,EMAMILTD-BL,EMAMILTD,NSE
15086,ADANIPORTS-BL,ADANIPORTS,NSE
9420,UTRGR31P11-MF,UTRGR31P11,NSE
14157,MINDAIND-BL,MINDAIND,NSE
17388,ADANIPOWER-EQ,ADANIPOWER,NSE
11452,CCL-EQ,CCL,NSE
21050,780AP33-SG,780AP33,NSE
15191,BGRENERGY-BL,BGRENERGY,NSE
17688,GPTINFRA-BL,GPTINFRA,NSE
19271,DFMFOODS-EQ,DFMFOODS,NSE
20224,CEBBCO-EQ,CEBBCO,NSE
22062,831RJ27-SG,831RJ27,NSE
4300,ABSLFTQTDG-MF,ABSLFTQTDG,NSE
11748,IRFC-NH,IRFC,NSE
19289,M50-EQ,M50,NSE
3383,DHFL-NZ,DHFL,NSE
12782,STCINDIA-BL,STCINDIA,NSE
12241,BALRAMCHIN-BL,BALRAMCHIN,NSE
18493,DHFL-NO,DHFL,NSE
21907,565KL24-SG,565KL24,NSE
4652,H1487D42RG-MF,H1487D42RG,NSE
13755,NAUKRI-BL,NAUKRI,NSE
13213,JAGRAN-BL,JAGRAN,NSE
4060,ALPSINDUS-EQ,ALPSINDUS,NSE
18029,MBLINFRA-EQ,MBLINFRA,NSE
