token,symbol,name
11195,INDIGO-EQ,INDIGO
15049,ENERGYDEV-EQ,ENERGYDEV
13061,IIFLWAM-EQ,IIFLWAM
3546,TTKPRESTIG-EQ,TTKPRESTIG
3824,ZODJRDMKJ-EQ,ZODJRDMKJ
305,BAJAJHLDNG-EQ,BAJAJHLDNG
14174,IZMO-EQ,IZMO
28906,MAYURUNIQ-EQ,MAYURUNIQ
13900,CREST-EQ,CREST
13761,BBL-EQ,BBL
3837,TOKYOPLAST-EQ,TOKYOPLAST
15259,RPOWER-EQ,RPOWER
15151,MADHAV-EQ,MADHAV
12716,TEAMLEASE-EQ,TEAMLEASE
4529,ICICINXT50-EQ,ICICINXT50
1507,G5-EQ,G5
14813,ADSL-EQ,ADSL
4843,SNOWMAN-EQ,SNOWMAN
11006,LIQUIDBEES-EQ,LIQUIDBEES
9309,STLTECH-EQ,STLTECH
15360,NAHARCAP-EQ,NAHARCAP
2004,AHLADA-EQ,AHLADA
15414,TWL-EQ,TWL
18086,DBL-EQ,DBL
29124,PCJEWELLER-EQ,PCJEWELLER
11915,YESBANK-EQ,YESBANK
19299,ITDC-EQ,ITDC
21275,SUMMITSEC-EQ,SUMMITSEC
4898,FDC-EQ,FDC
3127,BARBEQUE-EQ,BARBEQUE
30089,ORIENTCEM-EQ,ORIENTCEM
842,DHFL-EQ,DHFL
13536,VIDHIING-EQ,VIDHIING
5851,KOTAKBKETF-EQ,KOTAKBKETF
11140,SUMIT-EQ,SUMIT
11480,KRIDHANINF-EQ,KRIDHANINF
13565,RAMANEWS-EQ,RAMANEWS
13643,ELECON-EQ,ELECON
2307,MUNJALSHOW-EQ,MUNJALSHOW
29135,INDUSTOWER-EQ,INDUSTOWER
9874,GOLDTECH-EQ,GOLDTECH
11439,BANKBEES-EQ,BANKBEES
17881,DBCORP-EQ,DBCORP
17987,TRF-EQ,TRF
25492,ONELIFECAP-EQ,ONELIFECAP
25190,TECHIN-EQ,TECHIN
27303,SEPOWER-EQ,SEPOWER
11580,WESTLIFE-EQ,WESTLIFE
9007,NOVARTIND-EQ,NOVARTIND
19531,BAJAJCON-EQ,BAJAJCON
20621,PENIND-EQ,PENIND
2844,RANEHOLDIN-EQ,RANEHOLDIN
4055,PANACEABIO-EQ,PANACEABIO
15355,RECLTD-EQ,RECLTD
16657,ANIKINDS-EQ,ANIKINDS
13441,BALPHARMA-EQ,BALPHARMA
29877,VIVIDHA-EQ,VIVIDHA
2514,OSWALAGRO-EQ,OSWALAGRO
25512,FLEXITUFF-EQ,FLEXITUFF
916,EIDPARRY-EQ,EIDPARRY
11596,LINCOLN-EQ,LINCOLN
14602,WEBELSOLAR-EQ,WEBELSOLAR
4306,SRTRANSFIN-EQ,SRTRANSFIN
5633,J&KBANK-EQ,J&KBANK
14937,MAHINDCIE-EQ,MAHINDCIE
17903,ABBOTINDIA-EQ,ABBOTINDIA
399,NIACL-EQ,NIACL
8771,MEP-EQ,MEP
2799,CHEMFAB-EQ,CHEMFAB
1756,JINDALPOLY-EQ,JINDALPOLY
1185,AMBER-EQ,AMBER
27297,RTNINDIA-EQ,RTNINDIA
17,SCAPDVR-EQ,SCAPDVR
16045,PRINCEPIPE-EQ,PRINCEPIPE
10939,JUNIORBEES-EQ,JUNIORBEES
7672,IMAGICAA-EQ,IMAGICAA
18992,PIONDIST-EQ,PIONDIST
20242,OBEROIRLTY-EQ,OBEROIRLTY
14894,CENTRALBK-EQ,CENTRALBK
1156,GLFL-EQ,GLFL
10940,DIVISLAB-EQ,DIVISLAB
634,IGARASHI-EQ,IGARASHI
16713,UBL-EQ,UBL
9111,ARVINDFASN-EQ,ARVINDFASN
9039,UFO-EQ,UFO
21399,GANGESSECU-EQ,GANGESSECU
13796,MANALIPETC-EQ,MANALIPETC
3291,STARPAPER-EQ,STARPAPER
14445,NAHARPOLY-EQ,NAHARPOLY
9428,SKIPPER-EQ,SKIPPER
13367,SGL-EQ,SGL
11731,CONSOFINVT-EQ,CONSOFINVT
4668,BANKBARODA-EQ,BANKBARODA
18124,DBREALTY-EQ,DBREALTY
330,VALIANTORG-EQ,VALIANTORG
1328,MARINE-EQ,MARINE
13791,PARSVNATH-EQ,PARSVNATH
18214,TEXMOPIPES-EQ,TEXMOPIPES
6125,GOODLUCK-EQ,GOODLUCK
16795,ARCHIDPLY-EQ,ARCHIDPLY
15136,KAUSHALYA-EQ,KAUSHALYA
24265,ESTER-EQ,ESTER
16863,LPDC-EQ,LPDC
